"Title","US Gross","Worldwide Gross","US DVD Sales","Production Budget","Release Date","MPAA Rating","Running Time min","Distributor","Source","Major Genre","Creative Type","Director","Rotten Tomatoes Rating","IMDB Rating","IMDB Votes"
"Red River","9012000","9012000","null","3000000","Dec 31 1947","null","null","null","null","null","null","Howard Hawks","100","7.8","10629"
"Reds","50000000","50000000","null","33500000","Dec 04 1981","null","null","Paramount Pictures","Based on Book/Short Story","Drama","Historical Fiction","Warren Beatty","94","7.4","8455"
"Le Violon rouge","10019109","10019109","null","10000000","Jun 11 1999","R","null","Lionsgate","Original Screenplay","Drama","Historical Fiction","null","null","7.7","14545"
"Red Sonja","6905861","6905861","null","17900000","Jun 28 1985","null","null","MGM","Based on Book/Short Story","Action","Fantasy","Richard Fleischer","20","4.4","11896"
"Star Wars Ep. VI: Return of the Jedi","309205079","572700000","12356425","32500000","May 25 1983","PG","null","20th Century Fox","Original Screenplay","Adventure","Science Fiction","Richard Marquand","null","null","null"
"The Return","501752","2658490","null","15000000","Feb 06 2004","PG-13","null","Kino International","null","Drama","null","null","null","2.3","236"
"The Rise and Fall of Miss Thang","401","401","null","10000","Aug 14 2008","Not Rated","87","Lavender House Films","Original Screenplay","Drama","Contemporary Fiction","null","null","null","null"
"Roger & Me","6706368","6706368","null","140000","Dec 20 1989","null","null","Warner Bros.","Based on Real Life Events","Documentary","Factual","Michael Moore","100","7.5","14883"
"The Right Stuff","21500000","21500000","null","27000000","Oct 21 1983","null","null","Warner Bros.","Based on Book/Short Story","Action","Dramatization","Philip Kaufman","97","7.9","24275"
"The Rocky Horror Picture Show","139876417","139876417","null","1200000","Sep 26 1975","null","null","20th Century Fox","null","Musical","null","null","77","7.1","41265"
"Road House","30050028","30050028","null","10000000","May 19 1989","null","null","United Artists","Original Screenplay","Action","Contemporary Fiction","null","44","5.8","14085"
"Romeo Is Bleeding","3275585","3275585","null","10000000","Feb 04 1994","R","null","Gramercy","Original Screenplay","Drama","Contemporary Fiction","null","24","6.3","6537"
"Rockaway","0","0","null","2000000","Jul 07 2007","R","null","Off-Hollywood Distribution","Original Screenplay","Drama","Contemporary Fiction","null","null","4.2","232"
"Rocky","117235147","225000000","null","1000000","Nov 21 1976","null","null","MGM","null","null","null","John G. Avildsen","null","4","84"
"Return of the Living Dead Part II","9205924","9205924","null","6200000","Jan 15 1988","null","null","Lorimar Motion Pictures","null","Horror","Fantasy","null","null","5.1","4661"
"The R.M.","1111615","1111615","null","500000","Jan 31 2003","PG","null","Halestone","Original Screenplay","Comedy","Contemporary Fiction","null","64","5.5","449"
"Renaissance Man","24172899","24172899","null","40000000","Jun 03 1994","PG-13","null","Walt Disney Pictures","Original Screenplay","Comedy","Contemporary Fiction","Penny Marshall","null","5.9","7650"
"Rambo: First Blood Part II","150415432","300400000","null","44000000","May 22 1985","R","null","Sony/TriStar","Based on Book/Short Story","Action","Contemporary Fiction","George P. Cosmatos","30","5.8","38548"
"Rambo III","53715611","188715611","null","58000000","May 25 1988","null","null","Sony/TriStar","Based on Book/Short Story","Action","Contemporary Fiction","null","36","4.9","31551"
"Romeo+Juliet","46338728","147542381","null","14500000","Nov 01 1996","PG-13","120","20th Century Fox","Based on Play","Drama","Contemporary Fiction","Baz Luhrmann","null","6.5","78"
"Ramanujan","0","0","null","20000000","Dec 31 2007","null","null","null","null","null","null","Stephen Fry","null","null","null"
"Rain Man","172825435","412800000","null","25000000","Dec 16 1988","null","null","MGM","Original Screenplay","Comedy","Contemporary Fiction","Barry Levinson","87","8","106163"
"Rapa Nui","305070","305070","null","20000000","Sep 11 1994","null","null","null","null","null","null","Kevin Reynolds","null","6.1","2081"
"Roar","2000000","2000000","null","17000000","Dec 31 1980","null","null","null","null","null","null","null","null","5.9","228"
"The Robe","36000000","36000000","null","5000000","Sep 16 1953","null","null","null","null","null","null","null","38","6.7","2913"
"The Rock","134069511","336069511","null","75000000","Jun 07 1996","R","136","Walt Disney Pictures","Original Screenplay","Action","Contemporary Fiction","Michael Bay","66","7.2","108324"
"The Remains of the Day","22954968","63954968","null","15000000","Nov 05 1993","null","null","Sony/Columbia","Based on Book/Short Story","Drama","Historical Fiction","James Ivory","97","7.9","21736"
"Airplane!","83453539","83453539","null","3500000","Jul 04 1980","null","null","null","Original Screenplay","Comedy","null","Jerry Zucker","98","7.8","57000"
"Repo Man","2300000","2300000","null","1500000","Mar 02 1984","null","null","Universal","Original Screenplay","Comedy","Science Fiction","null","97","6.7","12438"
"Rocket Singh: Salesman of the Year","164649","5348767","null","1070000","Dec 11 2009","null","null","Yash Raj Films","null","null","null","null","null","7.5","1436"
"Raise the Titanic","7000000","7000000","null","40000000","Aug 01 1980","PG","null","null","null","null","null","null","60","3.9","1757"
"Restoration","4100000","4100000","null","18000000","Dec 29 1995","R","null","Miramax","Based on Book/Short Story","Drama","Historical Fiction","null","null","6.5","4024"
"The Return of the Living Dead","14237880","14237880","null","4000000","Aug 16 1985","null","null","Orion Pictures","null","Horror","Science Fiction","null","88","7.1","13621"
"Rejsen til Saturn","0","2783634","null","2700000","Sep 26 2008","null","null","null","Original Screenplay","Comedy","Science Fiction","null","null","5.9","849"
"Return to the Land of Wonders","1338","1338","null","5000","Jul 13 2005","Not Rated","null","Arab Film Distribution","null","Documentary","Factual","null","null","8.5","35"
"Return to Oz","10618813","10618813","null","27000000","Jun 21 1985","null","null","Walt Disney Pictures","Based on Book/Short Story","Adventure","Fantasy","null","55","6.7","7491"
"The Running Man","38122000","38122000","null","30000000","Nov 13 1987","null","null","Sony/TriStar","Based on Book/Short Story","Action","Science Fiction","Paul Michael Glaser","63","6.4","36308"
"Run Lola Run","7267324","14533173","null","1750000","Jun 18 1999","R","null","Sony Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Tom Tykwer","null","6","91"
"Revolution#9","9118","9118","null","350000","Nov 15 2002","null","null","null","null","Thriller/Suspense","null","null","null","7.3","252"
"The River Wild","46815000","94215000","null","45000000","Sep 30 1994","PG-13","null","Universal","Original Screenplay","Action","Contemporary Fiction","Curtis Hanson","56","6.2","14285"
"Se7en","100125643","328125643","null","30000000","Sep 22 1995","R","null","New Line","Original Screenplay","Thriller/Suspense","Contemporary Fiction","David Fincher","null","8.7","278918"
"Safe Men","21210","21210","null","1000000","Aug 07 1998","R","null","October Films","null","null","null","null","58","5.9","1743"
"Secrets & Lies","13417292","13417292","null","4500000","Sep 28 1996","R","null","October Films","Original Screenplay","Drama","Contemporary Fiction","Mike Leigh","94","7.9","14364"
"Sgt. Bilko","30356589","37956589","null","39000000","Mar 29 1996","PG","93","Universal","Based on TV","Comedy","Contemporary Fiction","null","33","5.2","9693"
"Sabrina","53458319","87100000","null","58000000","Dec 15 1995","PG","null","Paramount Pictures","Remake","Romantic Comedy","Contemporary Fiction","Sydney Pollack","61","6","15749"
"Subway","390659","1663296","null","2000000","Nov 06 1985","null","null","Island/Alive","Original Screenplay","Drama","Contemporary Fiction","Luc Besson","86","6.2","5904"
"School Daze","14545844","14545844","null","6000000","Feb 12 1988","null","null","Sony Pictures","Original Screenplay","Drama","Contemporary Fiction","Spike Lee","58","5.3","2667"
"Scarface","44942821","44942821","15386092","25000000","Dec 09 1983","Not Rated","null","Universal","Remake","Drama","Historical Fiction","Brian De Palma","88","8.2","152262"
"Schindler's List","96067179","321200000","null","25000000","Dec 15 1993","R","null","Universal","Based on Real Life Events","Drama","Dramatization","Steven Spielberg","97","8.9","276283"
"A Streetcar Named Desire","8000000","8000000","null","1800000","Sep 18 1951","null","null","Warner Bros.","Based on Play","null","null","Elia Kazan","null","8.1","33781"
"Shadow Conspiracy","2154540","2154540","null","45000000","Jan 31 1997","R","null","Walt Disney Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","George P. Cosmatos","null","4.7","2427"
"Short Cut to Nirvana: Kumbh Mela","381225","439651","null","200000","Oct 22 2004","Not Rated","null","Mela Films","Based on Real Life Events","Documentary","Factual","null","75","6.9","105"
"Spartacus","30000000","60000000","null","12000000","Oct 07 1960","null","null","Universal","Based on Book/Short Story","Action","Dramatization","Stanley Kubrick","96","8","50856"
"Sunday","410919","450349","null","450000","Aug 22 1997","null","null","null","null","Drama","null","null","79","6.9","436"
"She Done Him Wrong","2000000","2000000","null","200000","Feb 09 2033","null","null","null","null","null","null","null","100","6.7","1795"
"Secret, The","0","0","65505095","3500000","Nov 07 2006","Not Rated","null","null","null","Documentary","null","null","null","null","null"
"Sea Rex 3D: Journey to a Prehistoric World","0","0","null","5000000","Dec 31 1969","null","null","3D Entertainment","null","null","null","null","null","null","null"
"State Fair","3500000","3500000","null","4500000","Mar 09 1962","null","null","null","null","null","null","null","14","5.7","436"
"Sticky Fingers of Time","18195","20628","null","250000","Jan 08 1999","null","null","Strand","null","Thriller/Suspense","null","null","null","null","null"
"Stargate - The Ark of Truth","0","0","8962832","7000000","Mar 11 2008","null","null","null","Based on TV","Action","Science Fiction","null","null","null","null"
"She's Gotta Have It","7137502","7137502","null","175000","Aug 08 1986","null","null","Island","Original Screenplay","Comedy","Contemporary Fiction","Spike Lee","93","6.2","2594"
"Stargate","71565669","196565669","null","55000000","Oct 28 1994","PG-13","null","MGM","Original Screenplay","Action","Science Fiction","Roland Emmerich","46","6.7","47174"
"The Shadow","31835600","31835600","null","40000000","Jul 01 1994","PG-13","null","Universal","Based on Comic/Graphic Novel","Action","Super Hero","Russell Mulcahy","34","5.6","9530"
"Show Boat","11000000","11000000","null","2300000","Sep 24 1951","null","null","null","null","null","null","null","89","6.9","1788"
"Shadowlands","25842377","25842377","null","22000000","Dec 29 1993","R","null","Savoy","Based on Play","Drama","Dramatization","Sir Richard Attenborough","96","7.4","7689"
"Shanghai Surprise","2315000","2315000","null","17000000","Aug 29 1986","null","null","MGM","null","null","null","null","14","2.6","2591"
"Shalako","2620000","2620000","null","1455000","Dec 31 1967","null","null","null","null","null","null","null","null","5.3","1090"
"Sheena","5778353","5778353","null","25000000","Aug 17 1984","null","null","Sony/Columbia","Based on Comic/Graphic Novel","Adventure","Contemporary Fiction","John Guillermin","38","4.3","1598"
"Shine","35811509","35811509","null","5500000","Nov 22 1996","PG-13","105","Fine Line","Based on Real Life Events","Drama","Dramatization","Scott Hicks","90","7.6","22439"
"The Shining","44017374","44017374","null","19000000","May 23 1980","null","null","Warner Bros.","Based on Book/Short Story","Horror","Fantasy","Stanley Kubrick","87","8.5","177762"
"Haakon Haakonsen","15024232","15024232","null","8500000","Mar 01 1991","null","null","Walt Disney Pictures","Based on Book/Short Story","Adventure","Historical Fiction","null","null","6.4","1125"
"Ishtar","14375181","14375181","null","40000000","May 15 1987","null","null","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","19","3.7","6094"
"Showgirls","20254932","20254932","null","40000000","Sep 22 1995","NC-17","null","MGM","Original Screenplay","Drama","Contemporary Fiction","Paul Verhoeven","12","4.1","27004"
"The Shawshank Redemption","28241469","28241469","null","25000000","Sep 23 1994","R","null","Sony Pictures","Based on Book/Short Story","Drama","Historical Fiction","Frank Darabont","88","9.2","519541"
"Silver Bullet","10803211","10803211","null","7000000","Oct 11 1985","null","null","Paramount Pictures","Based on Book/Short Story","Horror","Fantasy","null","50","5.9","6387"
"Side Effects","44701","44701","null","200000","Sep 09 2005","R","null","Sky Island","Original Screenplay","Romantic Comedy","null","null","11","null","null"
"Set It Off","36049108","36049108","null","9000000","Nov 06 1996","R","120","New Line","Original Screenplay","Drama","Contemporary Fiction","F. Gary Gray","61","6.3","4570"
"The Silence of the Lambs","130726716","275726716","null","20000000","Feb 14 1991","null","null","Orion Pictures","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","Jonathan Demme","96","8.7","244856"
